"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","1032","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","2.275528","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","4","1","4.055945","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","2.105778","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","2.147039","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","23","1","1","62.599499","0","264"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","4.454190","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.012895","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","2.924276","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","26","3","1","55.307167","0","350"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","2","1","3.788171","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","6.899018","0","39"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","42","1","1","100.462914","0","535"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","21","5","1","45.215080","0","75"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.197344","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.616363","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","6","1","1","3.387301","0","26"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","84","1","1","161.206238","0","3020"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","84","1","1","159.133469","0","2987"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","84","1","1","0.000000","0","3068"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","42","1","1","77.072487","0","778"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.703905","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","24","2","2","23.929451","0","182"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","3.247151","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","3.020477","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","4","1","1","2.391329","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","1.746838","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","10","6","24.614475","0","86"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","6","1","1","3.859449","0","26"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","105","1","1","82.391693","0","2355"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","294","2","1","580.336304","0","13520"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","864","5","1","1519.795776","0","73287"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","27","1","1","47.414692","0","328"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","4","1","1","2.422366","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","4","1","1","2.289783","0","11"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","6","1","1","3.661497","0","22"
"/Game/Artwork/M_PointsBackground.M_PointsBackground","21","9","2","1","4.520080","0","36"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","21","4","1","1","4.043574","0","13"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","14","6","1","14.780746","0","47"
"/Game/Artwork/M_RadialShadow.M_RadialShadow","21","9","1","1","4.286639","0","53"
"/Interchange/gltf/M_Unlit.M_Unlit","21","26","12","6","19.860729","0","99"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","54","1","1","98.179169","0","1022"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","138","3","1","269.645081","0","3677"
"/Interchange/gltf/M_Sheen.M_Sheen","21","126","10","6","248.711700","0","1008"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","126","6","6","255.701996","0","1090"
"/Interchange/gltf/M_Default.M_Default","21","126","6","6","210.027802","0","1189"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","126","7","6","210.225998","0","1126"
"/Interchange/gltf/M_Transmission.M_Transmission","21","32","3","2","57.818291","0","178"
"Globals","24","1030","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","1","1","5.289803","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","2.834719","0","3"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","2.795465","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","2.827392","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","2.890030","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","21","1","1","52.049606","0","205"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","2.941367","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","13","6","34.939751","0","76"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","14","1","1","22.011761","0","76"
"/Game/Artwork/M_PointsBackground.M_PointsBackground","24","9","1","1","8.404446","0","32"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","8","2","34.602989","0","95"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","24","4","1","1","6.194562","0","13"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","23","1","1","52.529778","0","145"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","2","1","5.096344","0","11"
